BTP,Institution,SB ID,Local ID,Sex,Age,Disposition,Location,Breeding,With,Notes,Facility_Note
2025,"NZP-WASH
Smithsonian National Zoological Park
3001 Connecticut Avenue NW, Washington, DC 20008, United States",2736,116462,F,0,HOLD,NZP-WASH,DO NOT BREED,,,
2025,"OMAHA
Omaha's Henry Doorly Zoo
3701 S 10th Street, Omaha, Nebraska 68107, United States",2652,24485,M,11,HOLD,OMAHA,BREED WITH,2677,,
2025,"OMAHA
Omaha's Henry Doorly Zoo
3701 S 10th Street, Omaha, Nebraska 68107, United States",2677,24709,F,7,HOLD,OMAHA,BREED WITH,2652,,
2025,"PHILADELP
Philadelphia Zoo
3400 W Girard Avenue, Philadelphia, Pennsylvania 19104, United States",2617,104733,F,14,HOLD,PHILADELP,DO NOT BREED,,Excluded - Age/No breeding success,
2025,"PHILADELP
Philadelphia Zoo
3400 W Girard Avenue, Philadelphia, Pennsylvania 19104, United States",2676,105322,M,8,HOLD,PHILADELP,BREED WITH,2713,,
2025,"PHILADELP
Philadelphia Zoo
3400 W Girard Avenue, Philadelphia, Pennsylvania 19104, United States",2713,2815,F,3,RECEIVE FROM,W ORANGE,BREED WITH,2676,,
2025,"PUEBLO
Pueblo Zoo
3455 Nuckolls Avenue, Pueblo, Colorado 81005, United States",2614,M39021,F,15,HOLD,PUEBLO,BREED WITH,2653,,"Facility Note: The SSP Coordinator acknowledges the lower likelihood of this pair breeding due to the female’s age, however, please do not prevent breeding."
2025,"PUEBLO
Pueblo Zoo
3455 Nuckolls Avenue, Pueblo, Colorado 81005, United States",2653,M39022,M,10,HOLD,PUEBLO,BREED WITH,2614,,"Facility Note: The SSP Coordinator acknowledges the lower likelihood of this pair breeding due to the female’s age, however, please do not prevent breeding."
2025,"W ORANGE
Turtle Back Zoo
560 Northfield Avenue, West Orange, New Jersey 7052, United States",2641,2889,M,12,HOLD,W ORANGE,BREED WITH,2717,,
2025,"W ORANGE
Turtle Back Zoo
560 Northfield Avenue, West Orange, New Jersey 7052, United States",2713,2815,F,3,SEND TO,PHILADELP,BREED WITH,2676,,
2025,"W ORANGE
Turtle Back Zoo
560 Northfield Avenue, West Orange, New Jersey 7052, United States",2717,2691,F,---,HOLD,W ORANGE,BREED WITH,2641,,
